f1,f2,sim
approccio positivo all informatica,interessare,0.28904277
interessare,approccio positivo all informatica,0.28904277
approccio positivo all informatica,grazie,0.46162912
grazie,conoscenza,0.3658007
conoscenza,bella,0.27929455
bella,motivazione,0.22068095
motivazione,la programmazione essere fondamentale per il nostro futuro,0.4602136
la programmazione essere fondamentale per il nostro futuro,motivazionale,0.4803672
motivazionale,interessante,0.2449813
interessante,capire il livello al quale sono di informatica,0.39290807
capire il livello al quale sono di informatica,presentazione del corso,0.7152507
presentazione del corso,introduzione,0.4617922
introduzione,motivazione,0.23391405
motivazione,motivazione,0.99999994
motivazione,imparare a programmare per conoscere la tecnologia,0.41193265
imparare a programmare per conoscere la tecnologia,conoscenza generale,0.59634066
conoscenza generale,descrizione programma ecc,0.50570244
descrizione programma ecc,presentazione del corso,0.6107521
presentazione del corso,lezione motivazionale,0.45762333
lezione motivazionale,interessante,0.35289517
interessante,conoscenza,0.28457123
conoscenza,motivazionale,0.40230632
motivazionale,conoscenza basilare del corso e motivazione,0.51319456
conoscenza basilare del corso e motivazione,lezione coinvolgente,0.551569
lezione coinvolgente,introduzione al corso,0.42705464
introduzione al corso,bisogna studiare,0.423291
bisogna studiare,conoscersi,0.39493316
conoscersi,introduzione e stimolo allo studio,0.28642502
introduzione e stimolo allo studio,presentazione,0.44984117
presentazione,incitamento allo studio dell informatica,0.3689693
incitamento allo studio dell informatica,informativo e motivazionale,0.6291281
informativo e motivazionale,scopi e argomenti del corso,0.6278696
scopi e argomenti del corso,presentazione del corso,0.74374676
presentazione del corso,conoscenza,0.37206534
conoscenza,programmazione,0.2800389
programmazione,introduzione,0.23169418
introduzione,conoscenza di preparazione all esame e questionario di conoscenza dello studente,0.40069914
conoscenza di preparazione all esame e questionario di conoscenza dello studente,studiare,0.5268192
studiare,lezione motivazionale,0.37457782
lezione motivazionale,introduzione al mondo della programmazione,0.49839902
introduzione al mondo della programmazione,motivazione,0.35702875
motivazione,lezione motivazionale e di introduzione,0.4604707
lezione motivazionale e di introduzione,introduzione,0.61466956
introduzione,l importanza dei dati,0.3892026
l importanza dei dati,introduzione,0.3892026
chi sa programmare,abbiamo in mano il mondo  internet,0.5154702
abbiamo in mano il mondo  internet,impostazione,0.2909122
impostazione,interessante,0.39976904
interessante,la programmazione,0.24140704
la programmazione,studiare,0.2783639
studiare,conoscenza ed introduzione,0.42708758
conoscenza ed introduzione,motivazione,0.41541603
motivazione,introduzione,0.23391405
introduzione,governi o vieni governato,0.30588886
messaggio motivazionale,introduzione,0.24971212
introduzione,approccio all informatica,0.41384736
approccio all informatica,motivazionale,0.46969438
motivazionale,lezione motivazionale,0.8301031
lezione motivazionale,l obiettivo del corso essere quello di imparare un linguaggio per programmare e quindi controllare le macchine,0.53214234
